,mnemonics,description,units,label
1061,asfi,array induction sp filtered,uv,shallow resistivity
1062,asfi,array induction sp filtered,microvolt,shallow resistivity
1063,asn,amplified short normal,ohm.m,shallow resistivity
1064,asn,amplified short normal,ohm-meter,shallow resistivity
1065,aso10,array induction one foot resistivity a10,ohm.m,shallow resistivity
1066,aso10,array induction one foot resistivity a10,ohm-meter,shallow resistivity
1067,aso20,array induction one foot resistivity a20,ohm.m,shallow resistivity
1068,aso20,array induction one foot resistivity a20,ohm-meter,shallow resistivity
1069,ast10,array induction two foot resistivity a10,ohm.m,shallow resistivity
1070,ast10,array induction two foot resistivity a10,ohm-meter,shallow resistivity
1071,ast20,array induction two foot resistivity a20,ohm.m,shallow resistivity
1072,ast20,array induction two foot resistivity a20,ohm-meter,shallow resistivity
1073,at10,array induction two foot resistivity a10,ohm.m,shallow resistivity
1074,at10,array induction two foot resistivity a10,ohm-meter,shallow resistivity
1075,at20,array induction two foot resistivity a20,ohm.m,shallow resistivity
1076,at20,array induction two foot resistivity a20,ohm-meter,shallow resistivity
1077,atrx,array induction two foot rxo,ohm.m,shallow resistivity
1078,atrx,array induction two foot rxo,ohm-meter,shallow resistivity
1079,fe1,first echo value for transducer 1,none,shallow resistivity
1080,hrls,high resolution shallow resistivity,ohm.m,shallow resistivity
1081,hrls,high resolution shallow resistivity,ohm-meter,shallow resistivity
1082,ll8,laterolog 8,ohm.m,shallow resistivity
1083,ll8,laterolog 8,ohm-meter,shallow resistivity
1084,mfr,micro-focused resistivity,none,shallow resistivity
1085,mll,microlaterolog resistivity,ohm.m,shallow resistivity
1086,mll,microlaterolog resistivity,ohm-meter,shallow resistivity
1087,msfl,micro-spherically-focused resistivity,ohm.m,shallow resistivity
1088,msfl,micro-spherically-focused resistivity,ohm-meter,shallow resistivity
1089,rsfl,raw sfl conductivity,ms/m,shallow resistivity
1090,rsfl,raw sfl conductivity,millisiemens per meter,shallow resistivity
1091,rxo,flushed zone resistivity,ohm.m,shallow resistivity
1092,rxo,flushed zone resistivity,ohm-meter,shallow resistivity
1093,rxo_hrlt,hrlt invaded zone resistivity,ohm.m,shallow resistivity
1094,rxo_hrlt,hrlt invaded zone resistivity,ohm-meter,shallow resistivity
1095,rxo8,invaded formation resistivity filtered at 8 inches,ohm.m,shallow resistivity
1096,rxo8,invaded formation resistivity filtered at 8 inches,ohm-meter,shallow resistivity
1097,rxoi,invaded formation resistivity very high resolution,ohm.m,shallow resistivity
1098,rxoi,invaded formation resistivity very high resolution,ohm-meter,shallow resistivity
1099,rxoz,invaded formation resistivity filtered at 18 inches,ohm.m,shallow resistivity
1100,rxoz,invaded formation resistivity filtered at 18 inches,ohm-meter,shallow resistivity
1101,sfbc,sfl borehole corrected resistivity,ohm.m,shallow resistivity
1102,sfbc,sfl borehole corrected resistivity,ohm-meter,shallow resistivity
1103,sfl,spherically focused log,ohm.m,shallow resistivity
1104,sfl,spherically focused log,ohm-meter,shallow resistivity
1105,sfla,sfl resistivity averaged over 2.5 feet,ohm.m,shallow resistivity
1106,sfla,sfl resistivity averaged over 2.5 feet,ohm-meter,shallow resistivity
1107,sflr,sfl resistivity raw,ohm.m,shallow resistivity
1108,sflr,sfl resistivity raw,ohm-meter,shallow resistivity
1109,sflu,sfl resistivity unaveraged,ohm.m,shallow resistivity
1110,sflu,sfl resistivity unaveraged,ohm-meter,shallow resistivity
1111,sn,short normal resistivity (16 inch spacing),ohm.m,shallow resistivity
1112,sn,short normal resistivity (16 inch spacing),ohm-meter,shallow resistivity
1113,ae20,array induction resistivity environmentally compensated log processing ae20,ohm.m,shallow resistivity
1114,ae20,array induction resistivity environmentally compensated log processing ae20,ohm-meter,shallow resistivity
1115,ae30,array induction resistivity environmentally compensated log processing ae30,ohm.m,shallow resistivity
1116,ae30,array induction resistivity environmentally compensated log processing ae30,ohm-meter,shallow resistivity
1117,csfl,sfl conductivity,ms/m,shallow resistivity
1118,csfl,sfl conductivity,millisiemens per meter,shallow resistivity
1119,sp,spontaneous potential,mv,spontaneous potential
1120,sp,spontaneous potential,megavolt,spontaneous potential
1121,sp,spontaneous potential,millivolt,spontaneous potential
1122,sp,spontaneous potential,uv,spontaneous potential
1123,sp,spontaneous potential,microvolt,spontaneous potential
1124,spc,baseline shifted spontaneous potential,v,spontaneous potential
1125,spc,baseline shifted spontaneous potential,volt,spontaneous potential
1126,spc,baseline shifted spontaneous potential,w/a,spontaneous potential
1127,spd,sp digital calibrated sparc,v,spontaneous potential
1128,spd,sp digital calibrated sparc,volt,spontaneous potential
1129,spd,sp digital calibrated sparc,w/a,spontaneous potential
1130,spdf,sp digital filtered sparc,v,spontaneous potential
1131,spdf,sp digital filtered sparc,volt,spontaneous potential
1132,spdf,sp digital filtered sparc,w/a,spontaneous potential
1133,spp,measure of sp plus sqrt(sigma**2+tau**2),v,spontaneous potential
1134,spp,measure of sp plus sqrt(sigma**2+tau**2),volt,spontaneous potential
1135,spp,measure of sp plus sqrt(sigma**2+tau**2),w/a,spontaneous potential
